code_insee,nom_commune,code_postal,code_departement,nom_departement,code_region,nom_region,zone,population_commune,nb_codes_postaux,population_attribuee
01001,L'Abergement-Clémenciat,01400,01,Ain,84,Auvergne-Rhône-Alpes,metro,860,1,860
01002,L'Abergement-de-Varey,01640,01,Ain,84,Auvergne-Rhône-Alpes,metro,270,1,270
01004,Ambérieu-en-Bugey,01500,01,Ain,84,Auvergne-Rhône-Alpes,metro,15934,1,15934
01005,Ambérieux-en-Dombes,01330,01,Ain,84,Auvergne-Rhône-Alpes,metro,1906,1,1906
01006,Ambléon,01300,01,Ain,84,Auvergne-Rhône-Alpes,metro,115,1,115
01007,Ambronay,01500,01,Ain,84,Auvergne-Rhône-Alpes,metro,2841,1,2841
01008,Ambutrix,01500,01,Ain,84,Auvergne-Rhône-Alpes,metro,760,1,760
01009,Andert-et-Condon,01300,01,Ain,84,Auvergne-Rhône-Alpes,metro,348,1,348
01010,Anglefort,01350,01,Ain,84,Auvergne-Rhône-Alpes,metro,1174,1,1174
01011,Apremont,01100,01,Ain,84,Auvergne-Rhône-Alpes,metro,415,1,415
01012,Aranc,01110,01,Ain,84,Auvergne-Rhône-Alpes,metro,331,1,331
01013,Arandas,01230,01,Ain,84,Auvergne-Rhône-Alpes,metro,138,1,138
01014,Arbent,01100,01,Ain,84,Auvergne-Rhône-Alpes,metro,3555,1,3555
01015,Arboys en Bugey,01300,01,Ain,84,Auvergne-Rhône-Alpes,metro,710,1,710
01016,Arbigny,01190,01,Ain,84,Auvergne-Rhône-Alpes,metro,462,1,462
01017,Argis,01230,01,Ain,84,Auvergne-Rhône-Alpes,metro,419,1,419
01019,Armix,01510,01,Ain,84,Auvergne-Rhône-Alpes,metro,25,1,25
01021,Ars-sur-Formans,01480,01,Ain,84,Auvergne-Rhône-Alpes,metro,1528,1,1528
01022,Artemare,01510,01,Ain,84,Auvergne-Rhône-Alpes,metro,1139,1,1139
01023,Asnières-sur-Saône,01570,01,Ain,84,Auvergne-Rhône-Alpes,metro,78,1,78
01024,Attignat,01340,01,Ain,84,Auvergne-Rhône-Alpes,metro,3409,1,3409
01025,Bâgé-Dommartin,01380,01,Ain,84,Auvergne-Rhône-Alpes,metro,4050,1,4050
01026,Bâgé-le-Châtel,01380,01,Ain,84,Auvergne-Rhône-Alpes,metro,971,1,971
01027,Balan,01360,01,Ain,84,Auvergne-Rhône-Alpes,metro,3077,1,3077
01028,Baneins,01990,01,Ain,84,Auvergne-Rhône-Alpes,metro,621,1,621
