code_postal,population,nb_communes,code_departement,zone,exemples_communes
01000,48532,2,01,metro,Bourg-en-Bresse; Saint-Denis-lès-Bourg
01090,9211,6,01,metro,Francheleins; Genouilleux; Guéreins; Lurcy; ...
01100,33696,7,01,metro,Apremont; Arbent; Bellignat; Groissiat; ...
01110,6594,6,01,metro,Aranc; Brénod; Champdor-Corcelles; Corlier; ...
01120,19526,7,01,metro,Dagneux; La Boisse; Montluel; Niévroz; ...
01130,5278,9,01,metro,Belleydoux; Charix; Giron; Le Poizat-Lalleyriat; ...
01140,9233,8,01,metro,Garnerans; Illiat; Mogneneins; Peyzieux-sur-Saône; ...
01150,19068,11,01,metro,Blyes; Chazey-sur-Ain; Lagnieu; Leyment; ...
01160,10596,7,01,metro,Druillat; La Tranclière; Neuville-sur-Ain; Pont-d'Ain; ...
01170,30186,8,01,metro,Cessy; Chevry; Crozet; Gex; ...
01190,10237,12,01,metro,Arbigny; Boissey; Boz; Chavannes-sur-Reyssouze; ...
01200,22017,9,01;74,metro,Billiat; Chézery-Forens; Confort; Injoux-Génissiat; ...
01210,19358,3,01,metro,Ferney-Voltaire; Ornex; Versonnex
01220,12375,3,01,metro,Divonne-les-Bains; Grilly; Sauverny
01230,5258,11,01,metro,Arandas; Argis; Chaley; Cleyzieu; ...
01240,8168,8,01,metro,Certines; Dompierre-sur-Veyle; La Chapelle-du-Châtelard; Lent; ...
01250,17289,18,01,metro,Bohas-Meyriat-Rignat; Ceyzériat; Cize; Corveissiat; ...
01260,3700,4,01,metro,Arvière-en-Valromey; Champagne-en-Valromey; Haut Valromey; Valromey-sur-Séran
01270,4309,7,01,metro,Beaupont; Coligny; Domsure; Pirajoux; ...
01280,9153,1,01,metro,Prévessin-Moëns
01290,10869,10,01,metro,Bey; Biziat; Cormoranche-sur-Saône; Crottet; ...
01300,21157,22,01,metro,Ambléon; Andert-et-Condon; Arboys en Bugey; Belley; ...
01310,10259,8,01,metro,Buellas; Confrançon; Curtafond; Montcet; ...
01320,6631,6,01,metro,Chalamont; Châtenay; Châtillon-la-Palud; Crans; ...
01330,9423,8,01,metro,Ambérieux-en-Dombes; Birieux; Bouligneux; Lapeyrouse; ...
01340,15709,10,01,metro,Attignat; Bresse Vallons; Béréziat; Foissiat; ...
01350,6522,8,01,metro,Anglefort; Ceyzérieu; Cressin-Rochefort; Culoz-Béon; ...
01360,11194,4,01,metro,Balan; Bressolles; Béligneux; Loyettes
01370,7797,5,01,metro,Bény; Courmangoux; Meillonnas; Saint-Étienne-du-Bois; ...
01380,8440,6,01,metro,Boissey; Bâgé-Dommartin; Bâgé-le-Châtel; Saint-André-de-Bâgé; ...
01390,13174,8,01,metro,Civrieux; Mionnay; Monthieux; Rancé; ...
01400,12011,10,01,metro,Chanoz-Châtenay; Châtillon-sur-Chalaronne; Condeissiat; Dompierre-sur-Chalaronne; ...
01410,1476,5,01;39,metro,Champfromier; Chézery-Forens; Lajoux; Lélex; ...
01420,3053,4,01,metro,Chanay; Corbonod; Seyssel; Surjoux-Lhopital
01430,4135,10,01,metro,Ceignes; Chevillard; Condamine; Izenave; ...
01440,7102,1,01,metro,Viriat
01450,3664,9,01,metro,Bolozon; Cerdon; Challes-la-Montagne; Labalme; ...
01460,8713,6,01,metro,Brion; Béard-Géovreissiat; Montréal-la-Cluse; Nantua; ...
01470,3549,5,01,metro,Briord; Bénonces; Montagnieu; Seillonnaz; ...
01480,19712,9,01,metro,Ars-sur-Formans; Beauregard; Chaleins; Fareins; ...
01500,26858,8,01,metro,Ambronay; Ambutrix; Ambérieu-en-Bugey; Bettant; ...
01510,4328,10,01,metro,Armix; Artemare; Chazey-Bons; Cheignieu-la-Balme; ...
01540,4983,3,01,metro,Perrex; Saint-Julien-sur-Veyle; Vonnas
01550,4351,3,01,metro,Collonges; Farges; Pougny
01560,6364,12,01,metro,Cormoz; Courtes; Curciat-Dongalon; Lescheroux; ...
01570,5603,4,01,metro,Asnières-sur-Saône; Feillens; Manziat; Vésines
01580,3845,4,01,metro,Izernore; Matafelon-Granges; Samognat; Sonthonnax-la-Montagne
01590,2906,3,01;39,metro,Chancia; Dortan; Lavancia-Epercy
01600,25344,9,01,metro,Massieux; Misérieux; Parcieux; Reyrieux; ...
01630,23364,5,01,metro,Challex; Péron; Saint-Genis-Pouilly; Saint-Jean-de-Gonville; ...
01640,4736,4,01,metro,Boyeux-Saint-Jérôme; Jujurieux; L'Abergement-de-Varey; Saint-Jean-le-Vieux
01660,3982,3,01,metro,Chaveyriat; Mézériat; Vandeins
01680,1289,4,01,metro,Innimond; Lhuis; Lompnas; Marchamp
01700,22346,4,01,metro,Beynost; Miribel; Neyron; Saint-Maurice-de-Beynost
01710,6569,1,01,metro,Thoiry
01750,6690,3,01,metro,Crottet; Replonges; Saint-Laurent-sur-Saône
01800,24002,12,01,metro,Bourg-Saint-Christophe; Charnoz-sur-Ain; Faramans; Joyeux; ...
01851,2264,1,01,metro,Marboz
01960,8959,3,01,metro,Péronnas; Saint-André-sur-Vieux-Jonc; Servas
01990,4095,4,01,metro,Baneins; Chaneins; Relevant; Saint-Trivier-sur-Moignans
02000,34114,25,02,metro,Aulnois-sous-Laon; Barenton-Bugny; Barenton-Cel; Bourguignon-sous-Montbavin; ...
02100,60075,11,02,metro,Essigny-le-Petit; Fayet; Gricourt; Harly; ...
02110,15152,23,02,metro,Aisonville-et-Bernoville; Beaurevoir; Becquigny; Bohain-en-Vermandois; ...
02120,11621,26,02,metro,Audigny; Bernot; Chigny; Colonfay; ...
02130,7631,21,02,metro,Arcy-Sainte-Restitue; Beuvardes; Bruyères-sur-Fère; Cierges; ...
02140,9427,33,02,metro,Bancigny; Braye-en-Thiérache; Burelles; Dagny-Lambercy; ...
02150,2774,4,02,metro,La Selve; Lappion; Nizy-le-Comte; Sissonne
02160,7173,31,02,metro,Beaurieux; Blanzy-lès-Fismes; Bouffignereux; Bourg-et-Comin; ...
02170,4180,5,02,metro,Barzy-en-Thiérache; Esquéhéries; Fontenelle; Le Nouvion-en-Thiérache; ...
02190,8294,16,02,metro,Aguilcourt; Amifontaine; Berry-au-Bac; Bertricourt; ...
02200,47474,25,02,metro,Acy; Ambrief; Belleu; Bernoy-le-Château; ...
02210,6977,27,02,metro,Armentières-sur-Ourcq; Beugneux; Billy-sur-Ourcq; Breny; ...
02220,8242,29,02,metro,Augy; Bazoches-et-Saint-Thibaut; Braine; Brenelle; ...
02230,2890,1,02,metro,Fresnoy-le-Grand
02240,7457,17,02,metro,Alaincourt; Berthenicourt; Brissay-Choigny; Brissy-Hamégicourt; ...
02250,5208,18,02,metro,Autremencourt; Berlancourt; Bosmont-sur-Serre; Chevennes; ...
02260,4880,12,02,metro,Clairfontaine; Englancourt; Erloy; Froidestrées; ...
02270,7886,21,02,metro,Assis-sur-Serre; Barenton-sur-Serre; Bois-lès-Pargny; Chalandry; ...
02290,7939,17,02,metro,Ambleny; Bagneux; Berny-Rivière; Bieuxy; ...
02300,26878,31,02,metro,Abbécourt; Audignicourt; Autreville; Beaumont-en-Beine; ...
02310,10566,11,02,metro,Bézu-le-Guéry; Charly-sur-Marne; Coupru; Crouttes-sur-Marne; ...
02320,7249,9,02,metro,Allemant; Anizy-le-Grand; Brancourt-en-Laonnois; Cessières-Suzy; ...
02330,3232,11,02,metro,Celles-lès-Condé; Condé-en-Brie; Connigis; Courboin; ...
02340,4318,16,02,metro,Agnicourt-et-Séchelles; Berlise; Chaourse; Clermont-les-Fermes; ...
02350,4913,15,02,metro,Boncourt; Bucy-lès-Pierrepont; Chivres-en-Laonnois; Cuirieux; ...
02360,2772,18,02,metro,Archon; Brunehamel; Chéry-lès-Rozoy; Coingt; ...
02370,4477,8,02,metro,Aizy-Jouy; Celles-sur-Aisne; Chassemy; Chavonne; ...
02380,2879,11,02,metro,Bassoles-Aulers; Coucy-la-Ville; Coucy-le-Château-Auffrique; Crécy-au-Mont; ...
02390,3137,4,02,metro,Mont-d'Origny; Neuvillette; Origny-Sainte-Benoite; Thenelles
02400,30456,23,02,metro,Azy-sur-Marne; Belleau; Blesmes; Bonneil; ...
02410,2577,3,02,metro,Saint-Gobain; Saint-Nicolas-aux-Bois; Septvaux
02420,6690,17,02,metro,Aubencheul-aux-Bois; Bellenglise; Bellicourt; Bony; ...
02430,5183,1,02,metro,Gauchy
02440,2908,7,02,metro,Benay; Clastres; Gibercourt; Hinacourt; ...
02450,3222,7,02,metro,Bergues-sur-Sambre; Boué; Dorengt; Fesmy-le-Sart; ...
02460,2346,3,02,metro,La Ferté-Milon; Silly-la-Poterie; Troësnes
02470,2890,9,02,metro,Dammard; Macogny; Marizy-Saint-Mard; Marizy-Sainte-Geneviève; ...
02480,3329,10,02,metro,Annois; Artemps; Bray-Saint-Christophe; Cugny; ...
02490,3125,10,02,metro,Attilly; Caulaincourt; Jeancourt; Le Verguier; ...
02500,14575,18,02,metro,Any-Martin-Rieux; Aubenton; Beaumé; Besmont; ...
02510,2209,4,02,metro,Hannapes; Iron; Vénérolles; Étreux
02520,1701,1,02,metro,Flavy-le-Martel
02540,2617,7,02,metro,Dhuys et Morin-en-Brie; L'Épine-aux-Bois; Montfaucon; Rozoy-Bellevalle; ...
02550,1354,1,02,metro,Origny-en-Thiérache
02570,1996,3,02,metro,Chézy-sur-Marne; Essises; La Chapelle-sur-Chézy
02580,1280,3,02,metro,Autreppes; Sorbais; Étréaupont
02590,3701,12,02,metro,Aubigny-aux-Kaisnes; Beauvois-en-Vermandois; Douchy; Fluquières; ...
02600,16952,26,02,metro,Ancienville; Corcy; Coyolles; Cutry; ...
02610,994,1,02,metro,Moÿ-de-l'Aisne
02620,1122,1,02,metro,Buironfosse
02630,1719,3,02,metro,Mennevret; Petit-Verly; Wassigny
02640,875,2,02,metro,Saint-Simon; Tugny-et-Pont
02650,2259,3,02,metro,Crézancy; Fossoy; Mézy-Moulins
02670,1668,2,02,metro,Champs; Folembray
02680,2243,5,02,metro,Castres; Contescourt; Dallon; Fontaine-lès-Clercs; ...
02690,1759,2,02,metro,Essigny-le-Grand; Urvillers
02700,17448,9,02,metro,Amigny-Rouy; Barisis-aux-Bois; Condren; Deuillet; ...
02720,1998,3,02,metro,Homblières; Marcy; Mesnil-Saint-Laurent
02760,1806,2,02,metro,Francilly-Selency; Holnon
02790,706,1,02,metro,Seraucourt-le-Grand
02800,12040,16,02,metro,Achery; Andelain; Anguilcourt-le-Sart; Beautor; ...
02810,2876,12,02,metro,Brumetz; Bussiares; Chézy-en-Orxois; Courchamps; ...
02820,4451,11,02,metro,Aizelles; Aubigny-en-Laonnois; Berrieux; Corbeny; ...
02830,3549,2,02,metro,Saint-Michel; Watigny
02840,5587,8,02,metro,Athies-sous-Laon; Coucy-lès-Eppes; Eppes; Festieux; ...
02850,3052,7,02,metro,Barzy-sur-Marne; Courtemont-Varennes; Jaulgonne; Le Charmel; ...
02860,4558,22,02,metro,Arrancy; Bièvres; Bouconville-Vauclair; Bruyères-et-Montbérault; ...
02870,3533,7,02,metro,Besny-et-Loizy; Brie; Bucy-lès-Cerny; Cerny-lès-Bucy; ...
02880,10172,18,02,metro,Braye; Bucy-le-Long; Chavigny; Chivres-Val; ...
03000,27031,6,03,metro,Avermes; Bressolles; Coulandon; Montilly; ...
03100,34286,2,03,metro,Lavault-Sainte-Anne; Montluçon
03110,9823,9,03,metro,Broût-Vernet; Charmeil; Cognat-Lyonne; Escurolles; ...
03120,8034,13,03,metro,Andelaroche; Arfeuilles; Barrais-Bussolles; Billezois; ...
03130,4218,14,03,metro,Avrilly; Bert; Le Bouchaud; Le Donjon; ...
03140,5287,15,03,metro,Barberier; Chantelle; Chareil-Cintrat; Charroux; ...
03150,8023,10,03,metro,Boucé; Créchy; Langy; Montaigu-le-Blin; ...
03160,5071,7,03,metro,Bourbon-l'Archambault; Couzon; Franchesse; Saint-Aubin-le-Monial; ...
03170,5166,7,03,metro,Bizeneuille; Bézenet; Chamblet; Deneuille-les-Mines; ...
03190,6893,11,03,metro,Audes; Estivareilles; Haut-Bocage; Hérisson; ...
03200,29949,3,03,metro,Abrest; Le Vernet; Vichy
03210,6604,12,03,metro,Agonges; Autry-Issards; Besson; Bresnay; ...
03220,4240,12,03,metro,Chavroches; Châtelperron; Cindré; Jaligny-sur-Besbre; ...
03230,6870,10,03,metro,Beaulon; Chevagnes; Chézy; Gannay-sur-Loire; ...
03240,3721,8,03,metro,Cressanges; Deux-Chaises; Le Montet; Le Theil; ...
03250,4048,11,03,metro,Arronnes; Châtel-Montagne; Ferrières-sur-Sichon; La Chabanne; ...
03260,6593,6,03,metro,Billy; Magnet; Marcenat; Saint-Félix; ...
03270,5356,4,03,metro,Busset; Hauterive; Mariol; Saint-Yorre
03290,4673,3,03,metro,Diou; Dompierre-sur-Besbre; Saint-Pourçain-sur-Besbre
03300,19755,7,03,metro,Bost; Creuzier-le-Neuf; Creuzier-le-Vieux; Cusset; ...
03310,5369,4,03,metro,Durdat-Larequille; Néris-les-Bains; Saint-Genest; Villebret
03320,3791,7,03,metro,Château-sur-Allier; Couleuvre; Le Veurdre; Limoise; ...
03330,2066,7,03,metro,Bellenaves; Chirat-l'Église; Coutansouze; Louroux-de-Bouble; ...
03340,4811,8,03,metro,Bessay-sur-Allier; Chapeau; Gouise; La Ferté-Hauterive; ...
03350,2451,5,03,metro,Cérilly; Le Brethon; Le Vilhain; Louroux-Bourbonnais; ...
03360,3920,8,03,metro,Ainay-le-Château; Braize; Isle-et-Bardais; Lételon; ...
03370,2482,9,03,metro,Chambérat; Chazemais; Courçais; Mesples; ...
03380,6564,7,03,metro,Archignat; Huriel; La Chapelaude; Lamaids; ...
03390,3385,10,03,metro,Beaune-d'Allier; Blomard; Chappes; Montmarault; ...
03400,15304,4,03,metro,Gennetines; Saint-Ennemond; Toulon-sur-Allier; Yzeure
03410,14577,5,03,metro,Domérat; Lignerolles; Prémilhat; Saint-Victor; ...
03420,2561,9,03,metro,Arpheuilles-Saint-Priest; La Petite-Marche; Marcillat-en-Combraille; Mazirat; ...
03430,3775,5,03,metro,Cosne-d'Allier; Sauvagny; Tortezais; Vieure; ...
03440,1637,3,03,metro,Buxières-les-Mines; Chavenon; Saint-Hilaire
03450,2537,7,03,metro,Chouvigny; Lalizolle; Nades; Sussat; ...
03460,3542,5,03,metro,Aubigny; Aurouër; Bagneux; Trévol; ...
03470,1682,4,03,metro,Coulanges; Monétay-sur-Loire; Pierrefitte-sur-Loire; Saligny-sur-Roudon
03500,11134,15,03,metro,Bayet; Bransat; Cesset; Châtel-de-Neuvre; ...
03510,2127,2,03,metro,Chassenard; Molinet
03600,7994,6,03,metro,Colombier; Commentry; Hyds; La Celle; ...
03630,4259,1,03,metro,Désertines
03700,11361,3,03,metro,Bellerive-sur-Allier; Brugheas; Serbannes
03800,9955,12,03,metro,Biozat; Bègues; Charmes; Gannat; ...
04000,18518,4,04,metro,Digne-les-Bains; Entrages; La Javie; La Robine-sur-Galabre
04100,22718,1,04,metro,Manosque
04110,2745,8,04,metro,Aubenas-les-Alpes; Montfuron; Montjustin; Oppedette; ...
04120,2517,7,04,metro,Castellane; Demandolx; La Garde; La Palud-sur-Verdon; ...
04130,3243,1,04,metro,Volx
04140,2636,8,04,metro,Auzet; Barles; Le Vernet; Montclar; ...
04150,3021,9,04,metro,Banon; L'Hospitalet; La Rochegiron; Montsalier; ...
04160,3981,2,04,metro,Château-Arnoux-Saint-Auban; L'Escale
04170,2652,10,04,metro,Allons; Angles; La Mure-Argens; Lambruisse; ...
04180,4360,1,04,metro,Villeneuve
04190,4099,1,04,metro,Les Mées
04200,14549,19,04,metro,Aubignosc; Authon; Bevons; Châteauneuf-Miravail; ...
04210,3436,2,04,metro,Brunet; Valensole
04220,4875,2,04,metro,Corbières-en-Provence; Sainte-Tulle
04230,3186,8,04,metro,Cruis; Fontienne; Lardiers; Mallefougasse-Augès; ...
04240,1737,6,04,metro,Annot; Braux; Le Fugeret; Méailles; ...
04250,1883,12,04,metro,Bayons; Bellaffaire; Châteaufort; Clamensane; ...
04260,812,1,04,metro,Allos
04270,2261,10,04,metro,Beynes; Bras-d'Asse; Châteauredon; Entrages; ...
04280,1219,1,04,metro,Céreste-en-Luberon
04290,2485,3,04,metro,Salignac; Sourribes; Volonne
04300,10120,9,04,metro,Dauphin; Forcalquier; Limans; Mane; ...
04310,2887,2,04,metro,Ganagobie; Peyruis
04320,1124,4,04,metro,Castellet-lès-Sausses; Entrevaux; Sausses; Val-de-Chalvagne
04330,1179,8,04,metro,Barrême; Blieux; Chaudon-Norante; Clumanc; ...
04340,1336,3,04,metro,Le Lauzet-Ubaye; Méolans-Revel; Ubaye-Serre-Ponçon
04350,1010,1,04,metro,Malijai
04360,683,1,04,metro,Moustiers-Sainte-Marie
04370,1224,3,04,metro,Beauvezer; Colmars; Villars-Colmars
04380,1000,4,04,metro,Barras; Hautes-Duyes; Le Castellard-Mélan; Thoard
04400,4703,6,04,metro,Barcelonnette; Enchastrayes; Faucon-de-Barcelonnette; Les Thuiles; ...
04410,834,2,04,metro,Puimoisson; Saint-Jurs
04420,2042,7,04,metro,Archail; Beaujeu; Draix; La Javie; ...
04500,3843,7,04,metro,Allemagne-en-Provence; Montagnac-Montpezat; Quinson; Riez; ...
04510,4581,5,04,metro,Aiglun; Le Chaffaut-Saint-Jurson; Malijai; Mallemoisson; ...
04530,456,3,04,metro,La Condamine-Châtelard; Saint-Paul-sur-Ubaye; Val d'Oronaye
04600,2897,2,04,metro,Château-Arnoux-Saint-Auban; Montfort
04660,750,1,04,metro,Champtercier
04700,8366,6,04,metro,Entrevennes; La Brillanne; Le Castellet; Lurs; ...
04800,4088,3,04,metro,Esparron-de-Verdon; Gréoux-les-Bains; Saint-Martin-de-Brômes
04850,1146,1,04,metro,Jausiers
04860,3945,1,04,metro,Pierrevert
04870,1329,1,04,metro,Saint-Michel-l'Observatoire
05000,45711,8,05,metro,Châteauvieux; Gap; La Bâtie-Vieille; La Freissinouse; ...
05100,15459,8,05,metro,Briançon; Cervières; Montgenèvre; Névache; ...
05110,3357,8,04;05,metro,Barcillonnette; Claret; Curbans; Esparron; ...
05120,3912,3,05,metro,L'Argentière-la-Bessée; Les Vigneaux; Saint-Martin-de-Queyrières
05130,5042,9,04;05,metro,Fouillouse; Jarjayes; Lettret; Piégut; ...
05140,2004,8,05,metro,Aspremont; Aspres-sur-Buëch; La Beaume; La Faurie; ...
05150,1166,7,05,metro,Montjay; Moydans; Ribeyret; Rosans; ...
05160,1808,5,04;05,metro,Le Sauze-du-Lac; Pontis; Réallon; Saint-Apollinaire; ...
05170,651,1,05,metro,Orcières
05190,2069,6,05,metro,Bréziers; Espinasses; Remollon; Rochebrune; ...
05200,10552,9,05,metro,Baratier; Crots; Crévoux; Embrun; ...
05220,923,1,05,metro,Le Monêtier-les-Bains
05230,6988,5,05,metro,Avançon; Chorges; La Bâtie-Neuve; Montgardin; ...
05240,892,1,05,metro,La Salle-les-Alpes
05250,932,1,05,metro,Dévoluy
05260,4334,7,05,metro,Ancelle; Chabottes; Champoléon; Forest-Saint-Julien; ...
05290,839,2,05,metro,Puy-Saint-Vincent; Vallouise-Pelvoux
05300,8147,12,05,metro,Barret-sur-Méouge; Garde-Colombe; Laragne-Montéglin; Lazer; ...
05310,1271,3,05,metro,Champcella; Freissinières; La Roche-de-Rame
05320,479,1,05,metro,La Grave
05330,1494,1,05,metro,Saint-Chaffrey
05340,569,1,05,metro,Vallouise-Pelvoux
05350,1105,4,05,metro,Arvieux; Château-Ville-Vieille; Molines-en-Queyras; Saint-Véran
05380,1234,1,05,metro,Châteauroux-les-Alpes
05400,6696,11,05,metro,Chabestan; Châteauneuf-d'Oze; Furmeyer; La Roche-des-Arnauds; ...
05460,374,1,05,metro,Abriès-Ristolas
05470,369,1,05,metro,Aiguilles
05480,300,1,05,metro,Villar-d'Arêne
05500,5198,10,05,metro,Aubessagne; Buissard; La Fare-en-Champsaur; La Motte-en-Champsaur; ...
05560,588,1,05,metro,Vars
05600,5555,8,05,metro,Ceillac; Eygliers; Guillestre; Mont-Dauphin; ...
05700,3377,17,05;26,metro,Chanousse; L'Épine; La Bâtie-Montsaléon; La Piarre; ...
05800,1500,8,05,metro,Aspres-lès-Corps; Aubessagne; La Chapelle-en-Valgaudémar; Le Glaizil; ...
06000,89434,1,06,metro,Nice
06100,89434,1,06,metro,Nice
06110,41938,1,06,metro,Le Cannet
06130,25485,1,06,metro,Grasse
06140,24646,3,06,metro,Coursegoules; Tourrettes-sur-Loup; Vence
06150,37175,1,06,metro,Cannes
06160,38818,1,06,metro,Antibes
